entry_id	entry_heading	class	target_artifact	mechanism	mechanism_file	rule1_partly	rule2_circular	verdict	basis
59	"2026-05-26: ""Leftover after ship"" pattern — 5th recurrence in 3 days; the discipline catch rate is 100% but the underlying cause is BACKLOG hygiene not running at ship-time  [tag: planner-discipline] [tag: backlog-hygiene] [tag: forge-candidate]"	RECORD						HISTORY	Body is an incident account of a recurrence pattern with explicit recommendation against a new rule; no future-actor mandate stated → ### 59
82	"2026-05-22: Bellows runner log ""(step N)"" label lags actual dispatch state  [tag: planner-discipline]"	RECORD						HISTORY	Documents runner log behavior characteristic; disambiguator is operational advice, not a mandate with identifiable violation → ### 82
88	2026-05-25: `git diff --stat` working-tree-vs-index is blind to committed changes; agents commit during steps as standard practice [tag: bellows-architecture]	RECORD						HISTORY	Structural fix already shipped; closing generalization is reflective advice, not an enforceable rule → ### 88
93	2026-05-27: Schema migrations shipped in `src/db.py` are not applied to production DB by code commit alone [tag: schema-discipline, forge-architecture]	RULE	PLANNER_TEMPLATE.md					CODIFIED	Rule in PLANNER_TEMPLATE.md Checklist #12 (L1447, operative); no automated mechanism rejects violations; R3 → ### 93
104	"2026-05-28: Wall-clock calibration — ""small-tier"" executables with comprehensive test coverage run closer to medium-tier  [tag: planning-calibration] [tag: bellows-integration]"	RECORD						HISTORY	Reports actual wall-clock times; heuristics are observations from one data point, not rules with identifiable violations → ### 104
112	2026-05-27: Verdict-response filename prefix tolerance — Bellows consumed verdicts with unstripped `diagnostic-` and `executable-` prefixes despite README specifying prefix strip  [tag: bellows-integration] [tag: documentation-drift]	RECORD						HISTORY	Documents implementation-vs-spec divergence; proposes future work but states no imperative rule → ### 112
116	2026-05-29: Bellows `scope_check` gate cannot evaluate plans that delegate file lists to a referenced blueprint [tag: bellows-architecture, planner-discipline]	RULE	PLANNER_TEMPLATE.md	scope_check (G9)	gates.py	Y	Y	CODIFIED	Rule addressed by Checklist #14 (L1457, supersedes); G9 circular (lesson is about G9 limitation) and partly (does not enforce substance check); R3 → ### 116
122	2026-06-06: `__file__`-relative root constants break under git-worktree execution — resolve via marker walk-up [tag: bellows-architecture, planner-discipline]	RULE	bellows_root.py	resolve_bellows_root()	bellows_root.py	Y	N	CODIFIED	Fix implemented in bellows_root.py; 3 legacy sites survive (bellows.py:26, planner.py:11, verdict.py:13); nothing rejects new __file__-relative roots; uninvoked as enforcer; R3 → ### 122
123	2026-06-06: Don’t inherit the baton’s framing — find root cause and downstream effects, cut what doesn’t work [tag: planner-discipline]	RULE	PLANNER_TEMPLATE.md					CODIFIED	Rule in PLANNER_TEMPLATE.md Guardrails (L1603, operative); no automated mechanism; R3 → ### 123
134	2026-06-14: Live-canary every daemon-write activation; green tests are not enough [tag: process-discipline]	RULE	PLANNER_TEMPLATE.md					CODIFIED	Rule in PLANNER_TEMPLATE.md Workaround #15 (L1858, operative); no automated mechanism; R3 → ### 134
328	2026-08-13: A transcribed census row transposed two column values and stayed well-formed — spot-check rows against their cited sources [tag: verification]	RULE	PLANNER_TEMPLATE.md					CODIFIED	Rule in PLANNER_TEMPLATE.md Rule 96 (L1355, operative); no automated mechanism; R3 → ### 328
330	2026-08-13: Register DUP-APPEND — one bullet in, two identical rows out, in the cycle’s own record [tag: drafting-cycle]	RULE	walk_register_lint.py	duplicate_row	walk_register_lint.py	Y	N	CODIFIED	Guard exists and demonstrated (fixture: UNCONFORMANT+WARN); uninvoked (no automatic path); second clause uncovered (process discipline); R3 → ### 330
331	2026-08-13: Headerless table rows are INVISIBLE to a header-anchored parser — 46 committed rows had never been validated [tag: verification]	RULE	walk_register_lint.py	headerless_rows	walk_register_lint.py	Y	N	CODIFIED	Guard exists and demonstrated (fixture: UNCONFORMANT+WARN); uninvoked (no automatic path); general principle uncovered; R3 → ### 331
333	2026-08-13: Every sqlite sentinel prints BEFORE the COMMIT — a rollback run produces perfect evidence with nothing written [tag: verification]	RULE	PLANNER_TEMPLATE.md					PENDING	Rule not yet in any artifact; 0 operative hits in PLANNER_TEMPLATE.md for read-back/transactional/rollback/sentinel; build item: PLANNER_TEMPLATE.md; R4 → ### 333
