entry_id	entry_heading	mechanism	mechanism_file	violation_used	observed_rejection
98	2026-06-01: Name deposit file paths literally in plan step bodies — scope_check authorizes from named paths	_gate_scope_check	bellows/gates.py:850	Plan Scope declares knowledge/research/allowed.md; agent changed src/sneaky_edit.py	gate=scope_check evidence=out-of-scope files: src/sneaky_edit.py ... not in declared **Scope:** block
98	2026-06-01: Name deposit file paths literally in plan step bodies — scope_check authorizes from named paths	_gate_deposit_exists	bellows/gates.py:405	Plan declares knowledge/research/must-exist.md; file does not exist	gate=deposit_exists evidence=missing: knowledge/research/must-exist.md
106	2026-05-28: scope_check false-positive on plan-required evidence files — Planner override is the right disposition	_gate_scope_check	bellows/gates.py:850	Plan Scope declares knowledge/research/allowed.md; agent changed src/sneaky_edit.py	gate=scope_check evidence=out-of-scope files: src/sneaky_edit.py ... not in declared **Scope:** block
61	2026-05-26: Inline Deposits blocks with un-prefixed backticked paths silently fail _extract_plan_required_deposits	_gate_deposit_exists	bellows/gates.py:405	Plan declares knowledge/research/must-exist.md; file does not exist	gate=deposit_exists evidence=missing: knowledge/research/must-exist.md
85	2026-05-25: QA-step deposits blocks must declare exactly one .md file or the gate misfires	_gate_deposit_exists	bellows/gates.py:405	Plan declares knowledge/research/must-exist.md; file does not exist	gate=deposit_exists evidence=missing: knowledge/research/must-exist.md
90	2026-05-26: Use Deposits blocks for ALL agent deposits including QA reports; the prose-fallback parser is fragile	_gate_deposit_exists	bellows/gates.py:405	Plan declares knowledge/research/must-exist.md; file does not exist	gate=deposit_exists evidence=missing: knowledge/research/must-exist.md
70	2026-05-20: QA-step prompts must reference RULE_20_SELF_CHECK_BLOCK.md, not paraphrase Rule 20	_gate_rule_20_self_check	bellows/gates.py:551	QA report has Rule 20 banner but no PASSED line	gate=rule_20_self_check evidence=banner present but PASSED line missing
70	2026-05-20: QA-step prompts must reference RULE_20_SELF_CHECK_BLOCK.md, not paraphrase Rule 20	plan_lint check (c)	bellows/scripts/plan_lint.py:254	QA plan with qa_steps:1 but no Rule 20 banner or PASSED line	FAIL: (c) QA banner pair — missing: banner, PASSED line. Exit 1.
191	2026-07-28: An honest QA failure passes the Rule 20 self-check — the block reads evidence and hedging, never verdicts	_gate_rule_20_self_check	bellows/gates.py:551	QA report has Rule 20 banner but no PASSED line	gate=rule_20_self_check evidence=banner present but PASSED line missing
120	2026-06-06: Gate-enforced QA steps must be made unmissable in the prompt, not listed last	_gate_rule_20_self_check	bellows/gates.py:551	QA report has Rule 20 banner but no PASSED line	gate=rule_20_self_check evidence=banner present but PASSED line missing
184	2026-07-27: Choose the QA Rule 20 self-check FORM by plan class	_gate_rule_20_self_check	bellows/gates.py:551	QA report has Rule 20 banner but no PASSED line	gate=rule_20_self_check evidence=banner present but PASSED line missing
231	2026-08-03: Two gates over the same list pull in opposite directions — required versus tolerated	_gate_deposit_exists + _gate_scope_check	bellows/gates.py:405,850	Demonstrated both gates independently on same deposit/scope lists	Both gates fire independently: deposit_exists on missing file, scope_check on out-of-scope file
111	2026-05-27: Dispatch Mode: standard rejection	plan_lint check (a)	bellows/scripts/plan_lint.py:192	Dispatch Mode: bogus_mode	FAIL: (a) dispatch_mode — unrecognized: 'bogus_mode'. Exit 1.
89	2026-05-26: pause_for_verdict accepts only three values	plan_lint check (a)	bellows/scripts/plan_lint.py:200	pause_for_verdict: bogus_pause	FAIL: (a) pause_for_verdict — unrecognized: 'bogus_pause'. Exit 1.
119	2026-06-06: pause_for_verdict must be validated against the daemon's accepted enum before deposit	plan_lint check (a)	bellows/scripts/plan_lint.py:200	pause_for_verdict: bogus_pause	FAIL: (a) pause_for_verdict — unrecognized: 'bogus_pause'. Exit 1.
140	2026-07-07: qa_steps header is a step-number list, not a count	plan_lint check (i)	bellows/scripts/plan_lint.py:540	pause_for_verdict: on_failure with no qa_steps field	FAIL: (i) on_failure qa_steps — pause_for_verdict=on_failure requires a parseable qa_steps field. Exit 1.
142	2026-07-16: High-stakes executables get a drafting cycle	cycle_check.py	bellows/scripts/cycle_check.py	Drafting Cycle with rising yields (2,3,5) and claimed close	ESCALATE:claimed-close-unmet. Exit 1.
340	2026-08-14: A fold's own prose can break a machine contract — three times in one cycle, every one invisible to reading	fold_check.py	bellows/scripts/fold_check.py	Baseline with Dispatch Mode: bellows; fold changed to bogus_mode	FOLD-CHECK DRIFT: APPEARED: plan_lint: FAIL: (a) dispatch_mode; EXIT: plan_lint: exit 0 -> 1. Exit 1.
96	2026-06-02: A QA full suite passes headline is the least independently-verifiable claim	_gate_rule_22_verification	bellows/gates.py:605	QA table row with hedging 'should pass' in status cell	gate=rule_22_verification evidence=(d) Hedging keyword 'should pass' in positive-status row
121	2026-06-06: Run the FULL test suite during DEV and Planner review	_gate_qa_test_result	bellows/gates.py:733	pytest summary: 2 failed, 10 passed; known_failures=0	gate=qa_test_result evidence=pytest regressions: 2 failed (bad=2, known_failures=0, delta=2)
109	2026-05-28: Strict Bellows convention strings must be copied from a known-good artifact, never authored from memory	_gate_rule_20_self_check + plan_lint (c)	bellows/gates.py:551 + bellows/scripts/plan_lint.py:254	QA report with banner but no PASSED line; plan without banner	Both mechanisms fire: rule_20_self_check on missing PASSED, plan_lint (c) on missing banner
