line_no	entry_id	original_heading	proposed_status	proposed_target	basis
5	94	"2026-06-02: ""Known-good"" plan headers have a freshness axis — a header that parsed months ago can predate a current gate  [tag: planner-discipline] [tag: plan-authoring] [tag: bellows-integration]"	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=8)
11	95	2026-06-02: Never edit a project's working tree while a Bellows plan is in-flight for that project — even a blueprint or knowledge file  [tag: planner-discipline] [tag: bellows-integration] [tag: worktree]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=4)
17	96	"2026-06-02: A QA ""full suite passes / N passing"" headline is the least independently-verifiable claim in a report — confirm the run was watched or reproduce it under a wall-clock bound  [tag: planner-discipline] [tag: rule-22] [tag: qa-verification]"	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=1)
23	97	2026-06-02: `pytest --timeout=N` bounds per-test execution only — it cannot catch collection/import or session-fixture hangs  [tag: planner-discipline] [tag: testing] [tag: diagnostic-authoring]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=2)
29	98	"2026-06-01: Name deposit file paths literally in plan step bodies — scope_check authorizes from named paths; the ""don't name from memory"" rule is about assertions, not deposit targets  [tag: planner-discipline] [tag: plan-authoring] [tag: bellows-integration]"	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=4)
35	99	2026-05-31: Read the verdict-request Gate Result JSON before every verdict — the `gates step N: passed=True` log line predates teardown  [tag: bellows-integration] [tag: planner-discipline] [tag: verdict-mechanics]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=5)
41	100	2026-05-31: Never leave stray uncommitted non-lifecycle files in a watched repo root — they fail every teardown  [tag: bellows-integration] [tag: planner-discipline] [tag: operational-recovery]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=3)
47	101	2026-05-29: Restarting the daemon mid-plan arms the (n) orphan-guard verdict-replay — archive prior processed verdicts before the terminal verdict  [tag: bellows-integration] [tag: operational-recovery] [tag: planner-discipline]	pending		no-implemented-proposal
57	102	2026-05-29: Never name specific tests, files, or values from session memory in plan body assertions — soften to count-or-shape or copy from artifact  [tag: planner-discipline] [tag: plan-authoring]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=7)
81	103	2026-05-29: Planner-side writes to project directories during in-flight Bellows dispatch create dirty-tree teardown failures  [tag: planner-discipline] [tag: bellows-integration] [tag: operational-recovery]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=9)
121	104	"2026-05-28: Wall-clock calibration — ""small-tier"" executables with comprehensive test coverage run closer to medium-tier  [tag: planning-calibration] [tag: bellows-integration]"	unknown		detector-UNDECIDABLE(ratio=0.00,phrases=0,reason=no_target)
148	105	2026-05-28: Verdict response directory — `resolved/`, full stop  [tag: bellows-integration] [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=0)
158	106	2026-05-28: `scope_check` false-positive on plan-required evidence files — Planner override is the right disposition  [tag: bellows-integration] [tag: gate-overrides] [tag: planner-discipline]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=2)
174	107	2026-05-28: `_seen` slug cache not cleared on Done/ transition — diagnostic→executable handoff at same slug requires rename workaround  [tag: bellows-integration] [tag: recovery] [tag: slug-collision]	pending		no-implemented-proposal
188	108	"2026-05-28: R2 sub-variant Planner-direct close is the working recovery shape for ""substance shipped, teardown cherry-pick conflicts on lifecycle artifacts"" — two sessions running  [tag: bellows-integration] [tag: recovery] [tag: planner-discipline]"	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=2)
227	109	2026-05-28: Strict Bellows convention strings must be copied from a known-good artifact, never authored from memory — three failures in one session  [tag: planner-discipline] [tag: plan-authoring] [tag: bellows-integration]	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=1.00,phrases=10)
